Decay_rate=10.0,Sketch_size=10000,Delta=1e-09,Distribution=zipf,Max_freq=10,Noise_type=dlaplace
relative error (reach) 80-percentile
Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,1.482080
500000,1,0.002,0.706950
500000,1,0.004,0.407520
500000,1,0.006,0.291670
500000,1,0.008,0.205396
500000,1,0.01,0.175719
500000,1,0.02,0.088146
500000,1,0.03,0.067389
500000,1,0.04,0.054962
500000,1,0.05,0.049151
500000,1,0.06,0.046817
500000,1,0.08,0.041371
500000,1,0.10,0.039341
500000,1,0.12,0.036590
500000,1,0.14,0.035449
500000,1,0.15,0.036434
500000,1,0.16,0.035093
500000,1,0.18,0.036153
500000,1,0.20,0.036209
500000,1,0.25,0.034462
500000,1,0.30,0.035093
500000,1,0.35,0.033475
500000,1,0.40,0.033587
500000,1,0.50,0.034588
500000,1,0.60,0.034034
500000,1,0.80,0.032976
500000,1,1.00,0.034119
500000,2,0.001,1.739381
500000,2,0.002,0.774015
500000,2,0.004,0.418700
500000,2,0.006,0.266172
500000,2,0.008,0.185835
500000,2,0.01,0.161238
500000,2,0.02,0.095044
500000,2,0.03,0.063380
500000,2,0.04,0.057341
500000,2,0.05,0.049829
500000,2,0.06,0.047865
500000,2,0.08,0.040226
500000,2,0.10,0.036247
500000,2,0.12,0.037116
500000,2,0.14,0.035723
500000,2,0.15,0.036666
500000,2,0.16,0.035618
500000,2,0.18,0.036142
500000,2,0.20,0.034571
500000,2,0.25,0.034191
500000,2,0.30,0.034267
500000,2,0.35,0.034571
500000,2,0.40,0.034191
500000,2,0.50,0.034267
500000,2,0.60,0.034571
500000,2,0.80,0.034571
500000,2,1.00,0.034191
500000,5,0.001,1.346667
500000,5,0.002,0.696224
500000,5,0.004,0.387114
500000,5,0.006,0.272585
500000,5,0.008,0.194710
500000,5,0.01,0.174797
500000,5,0.02,0.087116
500000,5,0.03,0.064044
500000,5,0.04,0.054950
500000,5,0.05,0.046479
500000,5,0.06,0.043207
500000,5,0.08,0.042162
500000,5,0.10,0.039439
500000,5,0.12,0.036937
500000,5,0.14,0.035896
500000,5,0.15,0.037350
500000,5,0.16,0.034967
500000,5,0.18,0.034967
500000,5,0.20,0.035896
500000,5,0.25,0.036383
500000,5,0.30,0.034855
500000,5,0.35,0.036937
500000,5,0.40,0.035063
500000,5,0.50,0.035896
500000,5,0.60,0.034527
500000,5,0.80,0.035414
500000,5,1.00,0.034855
500000,10,0.001,1.900534
500000,10,0.002,0.666905
500000,10,0.004,0.370568
500000,10,0.006,0.259383
500000,10,0.008,0.198311
500000,10,0.01,0.173956
500000,10,0.02,0.090357
500000,10,0.03,0.064999
500000,10,0.04,0.051746
500000,10,0.05,0.049272
500000,10,0.06,0.045073
500000,10,0.08,0.040397
500000,10,0.10,0.039311
500000,10,0.12,0.039418
500000,10,0.14,0.036480
500000,10,0.15,0.034650
500000,10,0.16,0.035688
500000,10,0.18,0.033614
500000,10,0.20,0.035452
500000,10,0.25,0.035452
500000,10,0.30,0.034485
500000,10,0.35,0.034650
500000,10,0.40,0.034485
500000,10,0.50,0.033614
500000,10,0.60,0.033614
500000,10,0.80,0.034485
500000,10,1.00,0.034485
500000,20,0.001,1.414765
500000,20,0.002,0.742479
500000,20,0.004,0.434189
500000,20,0.006,0.301586
500000,20,0.008,0.206924
500000,20,0.01,0.150896
500000,20,0.02,0.084472
500000,20,0.03,0.064205
500000,20,0.04,0.052789
500000,20,0.05,0.049777
500000,20,0.06,0.042136
500000,20,0.08,0.038293
500000,20,0.10,0.038775
500000,20,0.12,0.037847
500000,20,0.14,0.033757
500000,20,0.15,0.033757
500000,20,0.16,0.033588
500000,20,0.18,0.034623
500000,20,0.20,0.033757
500000,20,0.25,0.034472
500000,20,0.30,0.032553
500000,20,0.35,0.031530
500000,20,0.40,0.033467
500000,20,0.50,0.032499
500000,20,0.60,0.032553
500000,20,0.80,0.032510
500000,20,1.00,0.032499
500000,30,0.001,1.782731
500000,30,0.002,0.764641
500000,30,0.004,0.378131
500000,30,0.006,0.245295
500000,30,0.008,0.218223
500000,30,0.01,0.163544
500000,30,0.02,0.085705
500000,30,0.03,0.062926
500000,30,0.04,0.053690
500000,30,0.05,0.048249
500000,30,0.06,0.042038
500000,30,0.08,0.042996
500000,30,0.10,0.035735
500000,30,0.12,0.034699
500000,30,0.14,0.033664
500000,30,0.15,0.034338
500000,30,0.16,0.034699
500000,30,0.18,0.033430
500000,30,0.20,0.035390
500000,30,0.25,0.034410
500000,30,0.30,0.034699
500000,30,0.35,0.033430
500000,30,0.40,0.034338
500000,30,0.50,0.033799
500000,30,0.60,0.033664
500000,30,0.80,0.033430
500000,30,1.00,0.034338
500000,40,0.001,1.920249
500000,40,0.002,0.755477
500000,40,0.004,0.373420
500000,40,0.006,0.269637
500000,40,0.008,0.204294
500000,40,0.01,0.161219
500000,40,0.02,0.089420
500000,40,0.03,0.060547
500000,40,0.04,0.049321
500000,40,0.05,0.046660
500000,40,0.06,0.042487
500000,40,0.08,0.040436
500000,40,0.10,0.033856
500000,40,0.12,0.036239
500000,40,0.14,0.033918
500000,40,0.15,0.033856
500000,40,0.16,0.033918
500000,40,0.18,0.033278
500000,40,0.20,0.034298
500000,40,0.25,0.033340
500000,40,0.30,0.032937
500000,40,0.35,0.032258
500000,40,0.40,0.031920
500000,40,0.50,0.031956
500000,40,0.60,0.032888
500000,40,0.80,0.033133
500000,40,1.00,0.032888
500000,50,0.001,1.556180
500000,50,0.002,0.723904
500000,50,0.004,0.408597
500000,50,0.006,0.272891
500000,50,0.008,0.202220
500000,50,0.01,0.175492
500000,50,0.02,0.100596
500000,50,0.03,0.068052
500000,50,0.04,0.048858
500000,50,0.05,0.045846
500000,50,0.06,0.047829
500000,50,0.08,0.040449
500000,50,0.10,0.036724
500000,50,0.12,0.038339
500000,50,0.14,0.035760
500000,50,0.15,0.035334
500000,50,0.16,0.036263
500000,50,0.18,0.035760
500000,50,0.20,0.035760
500000,50,0.25,0.033828
500000,50,0.30,0.034794
500000,50,0.35,0.034794
500000,50,0.40,0.033292
500000,50,0.50,0.034794
500000,50,0.60,0.033828
500000,50,0.80,0.034192
500000,50,1.00,0.034794
500000,75,0.001,1.543132
500000,75,0.002,0.772403
500000,75,0.004,0.415981
500000,75,0.006,0.255433
500000,75,0.008,0.193358
500000,75,0.01,0.168679
500000,75,0.02,0.085351
500000,75,0.03,0.064854
500000,75,0.04,0.047932
500000,75,0.05,0.046883
500000,75,0.06,0.043744
500000,75,0.08,0.040477
500000,75,0.10,0.035817
500000,75,0.12,0.034587
500000,75,0.14,0.034692
500000,75,0.15,0.036624
500000,75,0.16,0.035465
500000,75,0.18,0.035852
500000,75,0.20,0.035465
500000,75,0.25,0.034692
500000,75,0.30,0.035416
500000,75,0.35,0.034380
500000,75,0.40,0.033855
500000,75,0.50,0.034380
500000,75,0.60,0.034380
500000,75,0.80,0.033855
500000,75,1.00,0.034442
500000,100,0.001,1.025416
500000,100,0.002,0.804634
500000,100,0.004,0.439845
500000,100,0.006,0.282454
500000,100,0.008,0.205664
500000,100,0.01,0.157532
500000,100,0.02,0.089755
500000,100,0.03,0.063698
500000,100,0.04,0.055478
500000,100,0.05,0.045717
500000,100,0.06,0.047777
500000,100,0.08,0.041155
500000,100,0.10,0.039381
500000,100,0.12,0.037200
500000,100,0.14,0.037292
500000,100,0.15,0.036249
500000,100,0.16,0.035207
500000,100,0.18,0.037218
500000,100,0.20,0.035217
500000,100,0.25,0.035412
500000,100,0.30,0.036233
500000,100,0.35,0.035217
500000,100,0.40,0.035207
500000,100,0.50,0.035207
500000,100,0.60,0.034468
500000,100,0.80,0.034167
500000,100,1.00,0.034468
500000,150,0.001,1.600827
500000,150,0.002,0.828420
500000,150,0.004,0.383702
500000,150,0.006,0.303507
500000,150,0.008,0.209138
500000,150,0.01,0.165920
500000,150,0.02,0.088704
500000,150,0.03,0.066538
500000,150,0.04,0.052348
500000,150,0.05,0.054359
500000,150,0.06,0.045483
500000,150,0.08,0.045856
500000,150,0.10,0.042443
500000,150,0.12,0.040473
500000,150,0.14,0.039399
500000,150,0.15,0.039397
500000,150,0.16,0.036562
500000,150,0.18,0.037579
500000,150,0.20,0.037392
500000,150,0.25,0.038326
500000,150,0.30,0.038326
500000,150,0.35,0.037255
500000,150,0.40,0.036389
500000,150,0.50,0.036562
500000,150,0.60,0.036562
500000,150,0.80,0.037255
500000,150,1.00,0.036389
500000,200,0.001,1.825455
500000,200,0.002,0.806188
500000,200,0.004,0.462784
500000,200,0.006,0.298659
500000,200,0.008,0.228377
500000,200,0.01,0.182946
500000,200,0.02,0.094538
500000,200,0.03,0.071557
500000,200,0.04,0.056482
500000,200,0.05,0.052730
500000,200,0.06,0.048689
500000,200,0.08,0.040671
500000,200,0.10,0.042170
500000,200,0.12,0.039437
500000,200,0.14,0.040060
500000,200,0.15,0.040060
500000,200,0.16,0.039437
500000,200,0.18,0.036889
500000,200,0.20,0.038020
500000,200,0.25,0.037947
500000,200,0.30,0.038314
500000,200,0.35,0.036889
500000,200,0.40,0.036950
500000,200,0.50,0.036235
500000,200,0.60,0.036072
500000,200,0.80,0.036072
500000,200,1.00,0.035127
500000,250,0.001,1.520843
500000,250,0.002,0.872771
500000,250,0.004,0.465312
500000,250,0.006,0.308408
500000,250,0.008,0.238165
500000,250,0.01,0.202495
500000,250,0.02,0.094459
500000,250,0.03,0.073518
500000,250,0.04,0.063594
500000,250,0.05,0.051782
500000,250,0.06,0.046786
500000,250,0.08,0.041990
500000,250,0.10,0.039722
500000,250,0.12,0.041990
500000,250,0.14,0.040165
500000,250,0.15,0.039611
500000,250,0.16,0.038423
500000,250,0.18,0.038547
500000,250,0.20,0.037913
500000,250,0.25,0.036876
500000,250,0.30,0.036876
500000,250,0.35,0.037237
500000,250,0.40,0.036051
500000,250,0.50,0.035658
500000,250,0.60,0.036051
500000,250,0.80,0.036051
500000,250,1.00,0.034866
500000,300,0.001,1.400116
500000,300,0.002,0.962981
500000,300,0.004,0.478624
500000,300,0.006,0.358187
500000,300,0.008,0.254739
500000,300,0.01,0.197210
500000,300,0.02,0.112541
500000,300,0.03,0.083016
500000,300,0.04,0.063359
500000,300,0.05,0.053523
500000,300,0.06,0.055168
500000,300,0.08,0.049901
500000,300,0.10,0.044736
500000,300,0.12,0.040775
500000,300,0.14,0.044194
500000,300,0.15,0.043305
500000,300,0.16,0.044194
500000,300,0.18,0.042231
500000,300,0.20,0.042040
500000,300,0.25,0.042040
500000,300,0.30,0.041793
500000,300,0.35,0.042231
500000,300,0.40,0.040775
500000,300,0.50,0.040775
500000,300,0.60,0.040591
500000,300,0.80,0.040775
500000,300,1.00,0.040775
500000,400,0.001,2.221087
500000,400,0.002,1.000000
500000,400,0.004,0.522851
500000,400,0.006,0.365901
500000,400,0.008,0.275339
500000,400,0.01,0.239560
500000,400,0.02,0.118695
500000,400,0.03,0.082296
500000,400,0.04,0.074738
500000,400,0.05,0.063115
500000,400,0.06,0.059037
500000,400,0.08,0.053586
500000,400,0.10,0.048215
500000,400,0.12,0.046752
500000,400,0.14,0.044067
500000,400,0.15,0.045382
500000,400,0.16,0.046752
500000,400,0.18,0.044286
500000,400,0.20,0.044286
500000,400,0.25,0.044012
500000,400,0.30,0.042854
500000,400,0.35,0.042640
500000,400,0.40,0.042640
500000,400,0.50,0.040248
500000,400,0.60,0.041268
500000,400,0.80,0.042640
500000,400,1.00,0.041299
500000,500,0.001,2.151632
500000,500,0.002,1.000000
500000,500,0.004,0.665595
500000,500,0.006,0.422626
500000,500,0.008,0.327302
500000,500,0.01,0.276700
500000,500,0.02,0.144298
500000,500,0.03,0.094019
500000,500,0.04,0.082752
500000,500,0.05,0.071099
500000,500,0.06,0.061813
500000,500,0.08,0.056696
500000,500,0.10,0.049450
500000,500,0.12,0.046996
500000,500,0.14,0.051841
500000,500,0.15,0.046996
500000,500,0.16,0.048778
500000,500,0.18,0.047177
500000,500,0.20,0.048610
500000,500,0.25,0.046996
500000,500,0.30,0.046996
500000,500,0.35,0.046996
500000,500,0.40,0.046996
500000,500,0.50,0.044914
500000,500,0.60,0.045384
500000,500,0.80,0.045384
500000,500,1.00,0.044796
500000,600,0.001,1.914603
500000,600,0.002,1.000000
500000,600,0.004,0.767182
500000,600,0.006,0.494647
500000,600,0.008,0.395161
500000,600,0.01,0.272314
500000,600,0.02,0.153729
500000,600,0.03,0.107566
500000,600,0.04,0.081951
500000,600,0.05,0.080151
500000,600,0.06,0.067179
500000,600,0.08,0.062308
500000,600,0.10,0.058199
500000,600,0.12,0.056393
500000,600,0.14,0.049846
500000,600,0.15,0.051823
500000,600,0.16,0.051582
500000,600,0.18,0.053146
500000,600,0.20,0.051582
500000,600,0.25,0.051582
500000,600,0.30,0.050984
500000,600,0.35,0.049184
500000,600,0.40,0.050984
500000,600,0.50,0.049316
500000,600,0.60,0.049184
500000,600,0.80,0.049184
500000,600,1.00,0.049184
500000,800,0.001,2.411157
500000,800,0.002,1.000000
500000,800,0.004,0.829427
500000,800,0.006,0.600367
500000,800,0.008,0.467650
500000,800,0.01,0.370618
500000,800,0.02,0.177633
500000,800,0.03,0.132702
500000,800,0.04,0.110579
500000,800,0.05,0.090882
500000,800,0.06,0.086029
500000,800,0.08,0.070721
500000,800,0.10,0.069164
500000,800,0.12,0.067348
500000,800,0.14,0.061953
500000,800,0.15,0.064581
500000,800,0.16,0.060713
500000,800,0.18,0.064143
500000,800,0.20,0.059954
500000,800,0.25,0.060713
500000,800,0.30,0.059764
500000,800,0.35,0.058597
500000,800,0.40,0.058830
500000,800,0.50,0.059764
500000,800,0.60,0.057577
500000,800,0.80,0.057577
500000,800,1.00,0.057577
500000,1000,0.001,2.943782
500000,1000,0.002,1.421606
500000,1000,0.004,1.000000
500000,1000,0.006,0.756971
500000,1000,0.008,0.532914
500000,1000,0.01,0.371996
500000,1000,0.02,0.212847
500000,1000,0.03,0.155638
500000,1000,0.04,0.122384
500000,1000,0.05,0.105888
500000,1000,0.06,0.090142
500000,1000,0.08,0.079928
500000,1000,0.10,0.072170
500000,1000,0.12,0.077678
500000,1000,0.14,0.067680
500000,1000,0.15,0.068061
500000,1000,0.16,0.069586
500000,1000,0.18,0.062673
500000,1000,0.20,0.062011
500000,1000,0.25,0.064425
500000,1000,0.30,0.062673
500000,1000,0.35,0.064425
500000,1000,0.40,0.061846
500000,1000,0.50,0.061846
500000,1000,0.60,0.061846
500000,1000,0.80,0.060167
500000,1000,1.00,0.061846
1000000,1,0.001,1.331475
1000000,1,0.002,0.741305
1000000,1,0.004,0.416963
1000000,1,0.006,0.275673
1000000,1,0.008,0.198371
1000000,1,0.01,0.162015
1000000,1,0.02,0.087469
1000000,1,0.03,0.065876
1000000,1,0.04,0.052540
1000000,1,0.05,0.047270
1000000,1,0.06,0.041081
1000000,1,0.08,0.037201
1000000,1,0.10,0.036115
1000000,1,0.12,0.035029
1000000,1,0.14,0.033216
1000000,1,0.15,0.034043
1000000,1,0.16,0.035034
1000000,1,0.18,0.033033
1000000,1,0.20,0.033033
1000000,1,0.25,0.032896
1000000,1,0.30,0.032022
1000000,1,0.35,0.032190
1000000,1,0.40,0.032022
1000000,1,0.50,0.031010
1000000,1,0.60,0.031780
1000000,1,0.80,0.031780
1000000,1,1.00,0.031780
1000000,2,0.001,1.562255
1000000,2,0.002,0.795353
1000000,2,0.004,0.416853
1000000,2,0.006,0.242670
1000000,2,0.008,0.221236
1000000,2,0.01,0.158846
1000000,2,0.02,0.094102
1000000,2,0.03,0.067397
1000000,2,0.04,0.054471
1000000,2,0.05,0.048179
1000000,2,0.06,0.044280
1000000,2,0.08,0.040405
1000000,2,0.10,0.039349
1000000,2,0.12,0.036209
1000000,2,0.14,0.034462
1000000,2,0.15,0.037215
1000000,2,0.16,0.035093
1000000,2,0.18,0.035164
1000000,2,0.20,0.034462
1000000,2,0.25,0.033475
1000000,2,0.30,0.034034
1000000,2,0.35,0.033075
1000000,2,0.40,0.032976
1000000,2,0.50,0.032976
1000000,2,0.60,0.033587
1000000,2,0.80,0.031919
1000000,2,1.00,0.033475
1000000,5,0.001,1.371788
1000000,5,0.002,0.732724
1000000,5,0.004,0.403436
1000000,5,0.006,0.268764
